Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1692    0.012    0.000    0.017    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\typing_extensions.py:361(_get_protocol_attrs)
     2393    0.012    0.000    0.172    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\auto_control_deps_utils.py:85(get_read_write_resource_inputs)
    39797    0.011    0.000    0.051    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2538(type)
4759/2428    0.011    0.000    2.770    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\traceback_utils.py:138(error_handler)
    14972    0.011    0.000    0.019    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:6263(get_default_graph)
1737/1628    0.011    0.000    0.393    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:808(map_structure)
      295    0.011    0.000    0.116    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:330(__init__)
     5305    0.011    0.000    0.011    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewBuffer}
    15092    0.011    0.000    0.011    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:33(__init__)
      885    0.010    0.000    0.015    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_util.py:336(_is_array_like)
     2537    0.010    0.000    0.011    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:7200(_reconstruct_sequence_inputs)
13242/5375    0.010    0.000    0.020    0.000 {built-in method builtins.hash}
     1637    0.010    0.000    0.014    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:1350(as_proto)
     2490    0.010    0.000    0.028    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:817(value_to_attr_value)
     1274    0.010    0.000    0.108    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:220(__init__)
    11204    0.010    0.000    0.017    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:723(as_dimension)
     2807    0.009    0.000    0.023    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:185(_sequence_like)
     5996    0.009    0.000    0.013    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:56(<genexpr>)
    10628    0.009    0.000    0.028    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\context.py:2161(executing_eagerly)
     1242    0.009    0.000    0.035    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3364(graph_def_versions)
       98    0.009    0.000    0.564    0.006 C:/Python_projects/2_Building_optimal_CNN_model/1.0_python_scripts/2.0_great_python_scripts/3.1.5_GC_PRO_ANALYSE_preprocess_+_extract_+_invertColors_+normalize_+_recognise_object_+_reformated_+_inline_+_videoInput_+_imShowBugFix_+_Cprofiler_+_snakeviz_+_optimized_.py:78(extractAndFitObjectFromContourToCNNModel)
