Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6102    0.006    0.000    0.013    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer.py:2949(_flatten_modules)
     5996    0.009    0.000    0.013    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:56(<genexpr>)
     5992    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:454(op)
     5978    0.007    0.000    0.011    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:38(__eq__)
     5798    0.006    0.000    0.006    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteBuffer}
     5628    0.005    0.000    0.026    0.000 {built-in method builtins.all}
     5481    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
5311/5295    0.016    0.000    1.766    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:1572(convert_to_tensor)
5311/5295    0.005    0.000    1.771    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\profiler\trace.py:178(wrapped)
     5305    0.011    0.000    0.011    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewBuffer}
     5199    0.008    0.000    0.077    0.000 {built-in method tensorflow.python.util._pywrap_utils.FlattenForData}
     5146    0.003    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5377(_control_dependencies_stack)
     5093    0.002    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5346(_colocation_stack)
     5080    0.018    0.000    0.018    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_SetAttrValueProto}
     5075    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3316(_check_not_finalized)
     5075    0.001    0.000    0.001    0.000 {method 'release' of '_thread.lock' objects}
     5074    0.002    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\traceable_stack.py:113(peek_traceable_objs)
     5074    0.002    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\lock_util.py:107(<genexpr>)
     5074    0.019    0.000    0.019    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
     5062    0.002    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:255(_yield_value)
     4998    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:84(<lambda>)
     4895    0.003    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\traceback_utils.py:32(is_traceback_filtering_enabled)
     4786    0.003    0.000    0.010    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:143(op_is_stateful)
     4786    0.005    0.000    0.012    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:645(update)
     4786    0.004    0.000    0.010    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\tpu\tpu.py:264(replace_with_unreplicated_resources)
4759/2428    0.011    0.000    2.770    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\traceback_utils.py:138(error_handler)
     4690    0.013    0.000    0.027    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\dtypes.py:155(is_compatible_with)
     4669    0.001    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3749(<genexpr>)
     4642    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2469(outputs)
     4466    0.009    0.000    0.025    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:765(__init__)
     4376    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:876(_as_tf_output)
     4345    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
     4250    0.004    0.000    0.004    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNestedOrComposite}
     4198    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_spec.py:56(dtype)
     4184    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     4017    0.002    0.000    0.015    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer.py:2943(_flatten_layers)
     3934    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     3922    0.001    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:101(_IsListValue)
     3819    0.008    0.000    0.052    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:651(_pack_sequence_as)
     3784    0.003    0.000    0.015    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2080(<genexpr>)
